timestamp_utc,innodb_lock_waits,lock_wait_rows,pending_requests
2026-09-20T06:50:37Z,40645,0,0
2026-09-20T06:50:39Z,40645,0,467
2026-09-20T06:50:44Z,40645,0,1317
2026-09-20T06:50:48Z,40645,0,2093
2026-09-20T06:50:53Z,40645,0,3119
2026-09-20T06:50:57Z,40645,0,4983
2026-09-20T06:51:01Z,40645,0,7121
2026-09-20T06:51:06Z,40645,0,7530
2026-09-20T06:51:09Z,40645,0,6480
2026-09-20T06:51:10Z,40645,0,5480
2026-09-20T06:51:12Z,40645,0,4630
2026-09-20T06:51:13Z,40645,0,3980
2026-09-20T06:51:15Z,40645,0,2980
2026-09-20T06:51:17Z,40645,0,980
2026-09-20T06:51:18Z,40645,0,0
2026-09-20T06:51:19Z,40645,0,0
